n,trial,kernel,E_before,E_after,dE
256,0,fejer,0.3268683530438259,0.3183183093514824,0.008550043692343468
256,0,gauss,0.35384608639380144,0.36164259208903976,0.0077965056952383205
256,0,poisson,0.3736664109934591,0.38858019239156827,0.014913781398109172
256,1,fejer,0.3798927962946234,0.3843662589252396,0.0044734626306162095
256,1,gauss,0.40576416043933705,0.40796713337983903,0.0022029729405019793
256,1,poisson,0.42683166945705314,0.4281550180301499,0.0013233485730967387
256,2,fejer,0.32748558825086227,0.2975223481515055,0.029963240099356747
256,2,gauss,0.35932408913401254,0.33975779292816155,0.019566296205850986
256,2,poisson,0.38366584475760035,0.36781322731237326,0.01585261744522709
256,3,fejer,0.37864370270132053,0.3963414204320729,0.01769771773075235
256,3,gauss,0.4014240722517508,0.39982115644036587,0.0016029158113849418
256,3,poisson,0.420538772183958,0.41078444074098597,0.009754331442972053
256,4,fejer,0.4144514393322411,0.42802773124563825,0.013576291913397154
256,4,gauss,0.4330317101425506,0.4475604005183563,0.01452869037580573
256,4,poisson,0.45074029560864226,0.46615030481198605,0.015410009203343789
512,0,fejer,0.3450912400490185,0.3342757397350633,0.010815500313955173
512,0,gauss,0.3649315454674791,0.35390442862196314,0.011027116845515939
512,0,poisson,0.3875002401872435,0.37601872246279805,0.011481517724445445
512,1,fejer,0.3274997932201379,0.3292444830694813,0.0017446898493433949
512,1,gauss,0.35074075320733067,0.3453329175397848,0.005407835667545879
512,1,poisson,0.37138389945326056,0.36279566673131525,0.00858823272194531
512,2,fejer,0.3320402432819073,0.3206117867656877,0.011428456516219598
512,2,gauss,0.35902936341928054,0.359812231316695,0.000782867897414441
512,2,poisson,0.38187431978215863,0.3878068413606973,0.005932521578538685
512,3,fejer,0.3460081431647575,0.3576678846946647,0.01165974152990723
512,3,gauss,0.3644992266295937,0.3697913445004031,0.005292117870809354
512,3,poisson,0.383886559771171,0.38668237653682624,0.002795816765655268
512,4,fejer,0.31889612768074493,0.3206146952348231,0.0017185675540781764
512,4,gauss,0.34357910370573813,0.34253986560572064,0.0010392381000174922
512,4,poisson,0.3643084230264498,0.36207759260349903,0.002230830422950747
1024,0,fejer,0.3392649891028854,0.3423464715903027,0.0030814824874172975
1024,0,gauss,0.3628141492357039,0.359431132581273,0.0033830166544308593
1024,0,poisson,0.38441657906901083,0.3782089852923838,0.006207593776627052
1024,1,fejer,0.3368558164380077,0.34594546555030736,0.009089649112299647
1024,1,gauss,0.36226778047430397,0.3508410866632309,0.011426693811073085
1024,1,poisson,0.3841993785083062,0.3637854624736907,0.02041391603461551
1024,2,fejer,0.3508541869034816,0.33845428725396765,0.012399899649513935
1024,2,gauss,0.37220573934191553,0.35990499670357257,0.012300742638342965
1024,2,poisson,0.393815273674982,0.38114829859356203,0.012666975081419951
1024,3,fejer,0.32208624683976317,0.32489786363957035,0.0028116167998071817
1024,3,gauss,0.3363313006866,0.34126875471024565,0.004937454023645649
1024,3,poisson,0.35447814190990334,0.3604712706394283,0.005993128729524955
1024,4,fejer,0.31857236592943267,0.3312865471581617,0.012714181228729027
1024,4,gauss,0.340533124019033,0.34360492118734365,0.0030717971683106304
1024,4,poisson,0.361569643786838,0.36069748131140933,0.0008721624754286506
